CHANGE_ANALYST,CHANGE_NO,CHANGE_DESCRITPION,REASON_FOR_CHANGE,CCB_SUBMIT_DATE
Girija Amaragol,DEV-25225,"Proto: EX-Rampur: This is to authorizes Celestica Kulim (CMY) to perform the following changes for the SKU2/3 P2B build, 

- 611-171251: ODM, ASSY, PCA, RAMPUR 24MP SWITCH BOARD, 8X2.5GT POE++,16X1G POE++, EX-RAMPUR
- 650-173259: ODM, Assy, Chassis, spare, 24F, EX-Rampur
- 650-173258 : ODM, Assy, Chassis, spare, 24MP, EX-Rampur


1) The offline image firmware for the R4052-H0016-01 and R4052-H1386-01 totally the same, so CMY will use existing PN: R4052-H0016-01 on switch card 611-171251 instead of R4052-H1386-01

2) On chassis level 650-173258, 650-173259 to use in house inventory R4052-F0210-01 to replace 660-181545 as the change is only from a CMY part number to a Juniper part number

3) On chassis level 650-173258 to use in house inventory R4052-F0200-04 to replace 660-181550 as the change is only from a CMY part number to a Juniper part number

4) On chassis level 650-173259, 650-173258  to use in house inventory R4052-F0305-01 instead of 660-185434 as the change is only from a CMY part number to a Juniper part number

5) On chassis level 650-173259 to use in house inventory  R4052-F0300-04 instead of  660-181553 as the change is only from a CMY part 
number to a Juniper part number

6) On chassis level 650-173259 & 650-173258 to use in-house inventory of R4052-C0003-01 & R4052-C0002-01 to replace with R4052-C0003-02,R4052-C0002-02


Special instructions: 
1. Track the affected SN of the reworked units.
2. Affix deviation label on the proto units for deviation tracking purpose",To use the alternate components,34:32.0
Abel Alcantar,DEV-25261,"Prod: 740-070983, Assy, OEM, DRAM, RDIMM, DDR4-2400, 8GB, 1Gx72, 1200MHz, Single Rank, Registered, ECC, 288P, 1.2V, CT: The purpose of this Deviation is to allow Accton Taiwan to make the following part substitutions for qualification purposes.

A. Qual Assemblies:

740-070983->650-071675->SRX4200-AC (QTY=2)
740-070983->650-104496->650-109145->750-109794->750-109776->CTP151-AC (QTY=2)

B. Sample Procurement Instructions:
Accton Taiwan to place PO based on quote with pricing and MOQ provided by appropriate Juniper GCM. Mfg Partner to contact Juniper GCM found in Agile under “Commodity Manager” field under the respective Qual JPN. In all emails to GCM, please also copy CEs, found in Agile under “Component Engineer” and “Context Component Engineer” fields of the Qual JPN along with the DEV Originator.

C. Factory Instructions:

C1>. Qualification build:
Replace JPN:740-070983, ATP: X4B08QD8BNRCME-R-JP1 with SMART Modular: SR5721G8JNP24KP1SG in all locations on the following assemblies:
   1. 740-070983->650-071675->SRX4200-AC - Required Assy Qty two(2).
   2. 740-070983->650-104496->650-109145->750-109794->750-109776->CTP151-AC - Required Assy Qty two(2).

C1B>.  All Qual Assemblies need to go through full MFG test prior to DVT test at ODM.
   1. 740-070983->650-071675->SRX4200-AC - Required Test Qty two(2).
   2. 740-070983->650-104496->650-109145->750-109794->750-109776->CTP151-AC - Required Test Qty two(2).

C1C>.  DVT at ODM for:
   1. 740-070983->650-071675->SRX4200-AC - Required Test Qty one(1).
   2. 740-070983->650-104496->650-109145->750-109794->750-109776->CTP151-AC - Required Test Qty one(1).

C1D>.  SW Certification test at Juniper for:
   1. 740-070983->650-071675->SRX4200-AC - Required Test Qty one(1).
   2. 740-070983->650-104496->650-109145->750-109794->750-109776->CTP151-AC - Required Test Qty zero(0).
 *NOTE:  See Special Instructions Section of DEV for shipping directions.

C2. Qualification boards can be new build or FGI.  

C3. Qualification units need to go through standard manufacturing and Test processes with the following specific actions:
- Install DEV-25261 on all qual sample assemblies.
- Record all serial numbers with DEV label and put on the NO SHIP list.
- Send the product test yield reports as soon as all units have completed Mfg tests to CM-DVT-HTR-reports@juniper.net, mlemeshow@uniper.net, and the DEV Originator.  
- Ensure email header subject line indicates the Qual JPN, Qual MFR and the DEV#.

C4. The qualification assemblies shall be shipped to Juniper (see Special Instructions) as soon as the required number of units have passed Mfg Test, prior to DVT.

C5. Perform DVT, as per the Accton Qual Plan.
Please email Accton Qual Plan to CM-DVT-HTR-reports@juniper.net, mlemeshow@uniper.net for Approval and copy DEV originator before performing DVT.
After approval, CE will request PDC to upload Accton Qual plan to DEV Attachment.

C6. After completion of DVT, prepare and review HTR report with the Juniper On site TE team and then email to CM-DVT-HTR-reports@juniper.net. mlemeshow@uniper.net, and the DEV Originator. Ensure email header subject line indicates the Qual JPN, Qual MFR and the DEV#.

D. Completion / Closure:
The qualification units are not to be used for any other DVT and customer shipments until the qualification has been fully completed by Juniper, reports reviewed and an ECO / MCO has been signed off.",Qualification of replacement memory modules due to Samsung announced EOL on the D1x node DDR4 DRAM.,28:51.0
Pradeep Holla,ECO-61380,"Prod: vJunosEvolved, 24.2/R1-S2: New SW Release per the Affected Items Section.

This ECO releases ""820/822"" P/N's into Production as standalone images.

1. ""820/822"" Application Package Production Release.","Production Release of vJunosEvolved, 24.2/R1-S2. This (3) image is being posted to the Web for download. Distribution Type - General.",06:23.0
Richard Hood,ECO-61390,"Prod: SKU's, QFX5210-64C: Update per the Affected Items Section.

Replace existing Junos with new Junos 23.4R2-S2.1 for QFX5210-64C.

1. QFX5210-64C non TAA SKUs:
--------------------------------------------
QFX5210-64C-AFI 
QFX5210-64C-AFI2 
QFX5210-64C-AFO 
QFX5210-64C-AFO2 
QFX5210-64C-CHAS 
QFX5210-64C-D-AFI2 
QFX5210-64C-D-AFO2 
QFX5210-64C-DC-AFI 
QFX5210-64C-DC-AFO 

For above impacted SKUs:
- Delete Junos: 22.2R3-S2.8. Software P/N: 811-175690. Filename: install-media-host-usb-qfx-5e-flex-x86-64-22.2R3-S2.8-secure.img
- Add Junos: 23.4R2-S2.1. Software P/N: 811-185208. Filename: install-media-host-usb-qfx-5e-flex-x86-64-23.4R2-S2.1-secure.img

2. QFX5210-64C TAA SKUs:
--------------------------------------
QFX5210-64C-AFI-T 
QFX5210-64C-AFI-T2 
QFX5210-64C-AFO-T 
QFX5210-64C-AFO-T2 

For above impacted SKUs:
- Delete Junos: 22.2R3-S2.8. Software P/N: 811-175691. Filename: install-media-host-usb-qfx-5e-x86-64-22.2R3-S2.8-secure.img
- Add Junos: 23.4R2-S2.1. Software P/N: 811-185209. Filename: install-media-host-usb-qfx-5e-x86-64-23.4R2-S2.1-secure.img

Notes:
1. Validation pass log at factory is in ""Attachments"" tab.  
2. *.cap file can be opened by Wordpad if the pass log is in *.cap format.",Update QFX5210-64C SKU's with new Junos as per SW Engineering recommendation.,24:17.0
Richard Hood,ECO-61181,"Prod: S-EX-MACSEC-C1-P, SW, EX,12 port, C1,MACsec,w/out CS, Prpl: Production Release per the Affected Items Section.

Note: FRS date to be updated prior to ECO release.

1. S-EX-MACSEC-C1-P:
- Release to ""Production"" status.",Production Release of software license SKU S-EX-MACSEC-C1-P.,47:33.0
Girija Amaragol,ECO-61457,"Prod: Site Support SKUs for EX4100-H-24 Port

Releasing to Production Lifecycle in Rev AA:

PA3-SUP-EX41HST24F
SV3-COR-EX41HST24F
PA5-SUP-EX41HST24F
SV5-COR-EX41HST24F
PA5-SUP-EX41HST24
PA3-SUP-EX41HST24
SV3-COR-EX41HST24
SV5-COR-EX41HST24

Note::Refer attached product number key field validation report for ease of viewing product number attributes.",Internal Release per SST Request 0003051,12:04.0
Ranjith Soundarrajan,ECO-61400,"Proto MX-Bugatti BOMupdated BOM for 711-170852

1. BOM changes in 711-170852 to rev 03

2. SCH-147999 update to REV-11

3. Rev to Track: 750-170854 to rev 07","1) Update to production part for YT1.1
2) Change YT core voltage to 0.765V",55:52.0
Richard Hood,ECO-61333,"Prod: 611 ODM Assy PCA's, Top levels, Mist: Update per the Affected Items Section.

1. SPEC-148021, SPEC-148781, SPEC-149685, SPEC-149686:
- Add new country approvals (Philippines, Ghana, and Pakistan).
- Commonize single box and multi-pack labels.
- Update SPEC documents.

2. 611-148806:
- Add RF Filter 250-187687. Release to ""Production"" status.
- Replace RJ45s (REFDES J23 and J24) on Hybrid BOM file.
- Updated Hybrid BOM file attached.

3. 611-148864, 611-149688:
- Replace RJ45s (REFDES J23 and J24) on Hybrid BOM files.
- No changes to Juniper BOM's.
- Updated Hybrid BOM files attached.

4. 650-148021, 650-148781, 650-149459, 650-149460, 650-149685, 650-149686:
- Update QRCode on unit box to new 650 revisions.
- Updated Hybrid BOM files attached.

5. AP34-US, AP34-WW, AP45-US, AP45-WW, AP45E-US, AP45E-WW:
- Rev to Track.","* Original RJ45 connectors allow the spring contacts to sink and lose connection to the mating connector if damaged.
* Unit label: Remove Israel marking. Add Philippines, Ghana, and Pakistan markings.
* Single/Unit box label: Update Israel marking. Add S. Africa.
* Multi-pack box label: Update Israel marking. Add Thailand.
* Single & Multi-pack markings now the same to eliminate confusion.",11:56.0
Ranjith Soundarrajan,M38602,"production/inactivate/: Remove DOF-EITAIWANFGI from AVL for SKU's of the affected items tab (1165 SKU's splitting).

PDC Note: Pease consider the MCOs which has added into ""Relationships"" tab. Since affected items are high, created multiple requests.",Need to remove DOF-EITAIWANFGI as approved source for AVL's of all SKU's of the affected items tab.,26:41.0
Girija Amaragol,M38699,"Prod: Adding below ACBEL POLYTECH INC-TAIPEI CITY MPN under AVL into COMP_IPQ per Acbel PCN# P1JUNIPER NETWORKS_2441628 (Attached)-
 
1. Adding below ACBEL POLYTECH INC-TAIPEI CITY MPN to Comp-IPQ
 
     Old                                     New
  FSN014-4C0G                      FSN014-4C0G REV02
 under respective JPN to ""Comp_IPQ"" status","Adding new MPN rev under COMP_IPQ per Acbel PCN to add OTW feature, Enable STATUS_TEMPERATURE (7Dh), Bit6: OT_WARNING",55:53.0
Girija Amaragol,M38753,"EOL Reactivation for HW - Inventory Required from CM

Customer : Taiwan Mobile
SKU : ACX2200-AC
QTY : 5
SCO : Katrina",EOL Reactivation for HW - Inventory Required from CM,51:03.0
Girija Amaragol,M38749,"Prod: This mcoChanging MPN Lifecycle Status to “EOL_Notified"" and Technical Risk Reason to ""3 - EOL Notice from Supplier"" for below ANALOG DEVICES MPN's

    JPN          MPN
310-037729  VT501FQX

PCN Document and Where used report is attached for reference.

Note:
PDC will update Technical Risk Reason upon approval before release this mco","ANALOG DEVICES has submitted the EOL PCN for the below reason:
No Demand",38:57.0
Prameela R,M38773,"EOL Reactivation for CS EOS Returns

Move from EOS (Obsolete) to EOL (Inactive):
Customer/ Partner 	Juniper CS
SKU(s)  	Refer affected items
Reason for Reactivation 	CS EOS Return
Requestor 	April Flaugher
Reason: 	Repair Location needs to move items to other locations 
PDC Action: 	Temporarily change material status from EOS to EOL (leave all dates intact) and revert back after CS confirms processing.",EOL Reactivation for CS EOS Returns,31:43.0
Girija Amaragol,M38715,"Proto: MCO to update AVL as illustrated below

Adding Interplex-Vietnam MPN under respective JPN to ""Comp_IPQ"" status

760-184086 => INTERPLEX-VIETNAM => 760-184086",Adding Interplex Vietnam to the AVL as part of multi-sourcing,35:54.0
Sunil H K,DEV-24885A,"Prod: This deviation authorizes CMY to build as per below changes on the Lonewolf -48MXP Switch board 

611-177932: ODM, Assy, PCA, Lonewolf 48MXP Switch board, EX-Lonewolf  

Change: 315-161734 is part of 611-177932 Hybrid BOM but CMY has used 315-105776 part for the complete Lonewolf NPI and qualified, so team wants to use the same part for another one-year time frame since there is a huge stock 

1)  Use 315-105776 in place of 315-161734

a) Note: 315-105776 part is in inactive state as this MPN lifecycle is depleted as per the Lagavulin ECO-55477 (for reference only)

b) attached the CMY email communication on the above stated component usage,","Reason for Extension A : Extended to 04/17/2025, extension will be needed considering the following -
1. The new P/N 315-161734 is still not available
2. Site continues to deplete the old P/N 315-105776
3. Old P/N to deplete by Q3'2025 at the time being [considering OH stock at SMART]


In lieu of ECO-55477 released as a phase in ECO to use Replace 315-105776 with 315-161734 for the “ Lagavulin assemblies only “ on 12/14/2022,  

Celestica made decision to go ahead and implement this ECO for Lonewolf NPI without communicating/discussing with Juniper however Hybrid BOM has 315-161734.

Since all proto & pilot build used older kit 315-105776 and qualified, so the team agreed to move forward using this 315-105776 until stock deplete. Expected timeline for stock depletion 1yr.",15:57.0
Girija Amaragol,DEV-25249,"Proto: PTX-Octomore; 750-173322: Assy, Top, 43.2T BXF-based 54x 800G OSFP, PTX-Octomore

This Deviation is to request FMY to use the on hand inventory from AVC & Cooler Master for Heatsink parts according to below split for the P1C build of the Octomore OSFP line card 750-173322

Build Qty: 17

For 1st 9 units of P1C build of the Octomore OSFP line card 750-173322, only use AVC part under each Heatsink JPN. For the next 8 units of P1C build of the Octomore OSFP line card 750-173322, only use Cooler Master part under each Heatsink JPN

430-179255; Heatsink, Vapor Chamber, Cu, 5mm, 125 x 87 mm, 1.86mm, BXF2-Front, PTX-Octomore
430-179247; Heatsink, Vapor Chamber, Cu, 5mm, 121 x 84 mm, 1.86mm, BXF0-Front, PTX-Octomore
430-179254; Heatsink, Vapor Chamber, Cu, 5mm, 130 x 125 mm, 1.86mm, BXF1-Rear, PTX-Octomore
430-179256; Heatsink, Vapor Chamber, Cu, 5mm, 120 x 125 mm, 1.86mm, BXF2-Rear, PTX-Octomore
430-179253; Heatsink, Vapor Chamber, Cu, 5mm, 130 x 87 mm, 1.86mm, BXF1-Front, PTX-Octomore
430-179252; Heatsink, Vapor Chamber, Cu, 5mm, 121 x 125 mm, 1.86mm, BXF0-Rear, PTX-Octomore

 Track the SNs of the affected units
- Affix the DEV-25249 label on the board (Visibility location)
- Closely monitor the Temp of the units and report any abnormalities.
- Record the temp

Note: Even if build is not carried under this order, do not mix up different vendor heatsinks on same board",Deviation to control Heatsink AVL usage & to avoid mixing up of different vendor heatsinks on same board,39:08.0
